Name,mtd_interval,MEF,ASR,time_to_compromise,host_compromise_ratio,network_size
NoMTD,100,0,0.5769230769230769,4826.278086228998,0.3,100
NoMTD,100,0,0.625,5759.693076659656,0.4,100
NoMTD,100,0,0.6578947368421053,6751.35841081961,0.5,100
NoMTD,100,0,0.6896551724137931,7266.879391277334,0.6,100
NoMTD,100,0,0.7070707070707071,7922.287109485815,0.7,100
NoMTD,100,0,0.7207207207207207,8557.887089227414,0.8,100
NoMTD,200,0,0.625,596.6426092281911,0.1,25
NoMTD,200,0,0.7142857142857143,1188.2787877686235,0.2,25
NoMTD,200,0,0.8333333333333334,1616.5868462326143,0.3,25
NoMTD,200,0,0.8333333333333334,2153.6792968410787,0.4,25
NoMTD,200,0,0.8928571428571429,2370.090101435034,0.5,25
NoMTD,200,0,0.8823529411764706,2810.0749930188367,0.6,25
NoMTD,200,0,0.9210526315789473,2965.0850506120523,0.7,25
NoMTD,200,0,0.9090909090909091,3232.1378145449976,0.8,25
NoMTD,200,0,0.4166666666666667,1589.9027070295674,0.1,50
NoMTD,200,0,0.5882352941176471,2304.4023264157163,0.2,50
NoMTD,200,0,0.6,3186.404836934702,0.3,50
NoMTD,200,0,0.5714285714285714,3879.0761085235035,0.4,50
NoMTD,200,0,0.6097560975609756,4172.637274741471,0.5,50
NoMTD,200,0,0.625,4455.628619008581,0.6,50
NoMTD,200,0,0.6363636363636364,5010.773068826741,0.7,50
NoMTD,200,0,0.6557377049180327,5513.1258281890205,0.8,50
NoMTD,200,0,0.6818181818181818,1754.655979869312,0.1,75
NoMTD,200,0,0.7142857142857143,2680.4553507965024,0.2,75
NoMTD,200,0,0.8035714285714286,3308.736688860593,0.3,75
NoMTD,200,0,0.8333333333333334,4346.255997451736,0.4,75
NoMTD,200,0,0.872093023255814,4654.619765658465,0.5,75
NoMTD,200,0,0.8823529411764706,4941.551938273402,0.6,75
NoMTD,200,0,0.9051724137931034,5323.083997257193,0.7,75
NoMTD,200,0,0.9090909090909091,5876.126386703297,0.8,75
NoMTD,200,0,0.47619047619047616,2569.796360163816,0.1,100
NoMTD,200,0,0.5714285714285714,3554.057898847309,0.2,100
NoMTD,200,0,0.6122448979591837,4744.032648924302,0.3,100
NoMTD,200,0,0.6779661016949152,5427.931827103599,0.4,100
NoMTD,200,0,0.7142857142857143,6163.027768062535,0.5,100
NoMTD,200,0,0.75,6856.3838223726325,0.6,100
NoMTD,200,0,0.7777777777777778,7378.184435582261,0.7,100
NoMTD,200,0,0.7843137254901961,8384.447081848859,0.8,100
NoMTD,100,0,0.625,652.4575328782215,0.1,25,5,0.8298095238095239,1.5003897271825175,1.1794921031221783,0
NoMTD,100,0,0.625,1080.2631623037973,0.2,25,5,0.8298095238095239,1.5003897271825175,1.1794921031221783,0
NoMTD,100,0,0.75,1309.3711230326112,0.3,25,5,0.8298095238095239,1.5003897271825175,1.1794921031221783,0
NoMTD,100,0,0.6666666666666666,2039.474374022936,0.4,25,5,0.8298095238095239,1.5003897271825175,1.1794921031221783,0
NoMTD,100,0,0.7352941176470589,2294.5812012528263,0.5,25,5,0.8298095238095239,1.5003897271825175,1.1794921031221783,0
NoMTD,100,0,0.75,2666.934691233984,0.6,25,5,0.8298095238095239,1.5003897271825175,1.1794921031221783,0
NoMTD,100,0,0.7954545454545454,2852.911168240677,0.7,25,5,0.8298095238095239,1.5003897271825175,1.1794921031221783,0
NoMTD,100,0,0.7692307692307693,3036.073412805138,0.8,25,5,0.8298095238095239,1.5003897271825175,1.1794921031221783,0
NoMTD,100,0,0.625,1165.5541504713826,0.1,50,5,0.6256746031746032,0.9211376426842415,3.8087754382405477,0
NoMTD,100,0,0.7692307692307693,2132.0886722788437,0.2,50,5,0.6256746031746032,0.9211376426842415,3.8087754382405477,0
NoMTD,100,0,0.8333333333333334,2431.8119889374348,0.3,50,5,0.6256746031746032,0.9211376426842415,3.8087754382405477,0
NoMTD,100,0,0.8695652173913043,2893.796623682452,0.4,50,5,0.6256746031746032,0.9211376426842415,3.8087754382405477,0
NoMTD,100,0,0.8928571428571429,3076.4127995332256,0.5,50,5,0.6256746031746032,0.9211376426842415,3.8087754382405477,0
NoMTD,100,0,0.9090909090909091,3479.3204802925206,0.6,50,5,0.6256746031746032,0.9211376426842415,3.8087754382405477,0
NoMTD,100,0,0.8974358974358975,3858.068746961043,0.7,50,5,0.6256746031746032,0.9211376426842415,3.8087754382405477,0
NoMTD,100,0,0.8888888888888888,4052.445536111556,0.8,50,5,0.6256746031746032,0.9211376426842415,3.8087754382405477,0
NoMTD,100,0,0.75,1400.9162403596356,0.1,75,5,0.49032275132275155,0.3210299194779359,1.0113917997201272,0
NoMTD,100,0,0.8333333333333334,2284.2945721165047,0.2,75,5,0.49032275132275155,0.3210299194779359,1.0113917997201272,0
NoMTD,100,0,0.9,2930.5340821519417,0.3,75,5,0.49032275132275155,0.3210299194779359,1.0113917997201272,0
NoMTD,100,0,0.8823529411764706,3474.170797111106,0.4,75,5,0.49032275132275155,0.3210299194779359,1.0113917997201272,0
NoMTD,100,0,0.9146341463414634,3986.7222734795605,0.5,75,5,0.49032275132275155,0.3210299194779359,1.0113917997201272,0
